flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176197,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/tyt/tyt/tyt.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/tyt/tyt/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176196,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ayt/ayt-soz/ayt-soz.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ayt/ayt-soz/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176194,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ayt/ayt-ea/ayt-ea.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ayt/ayt-ea/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176195,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ayt/ayt-say/ayt-say.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ayt/ayt-say/files/mobile/1.jpg
https://ogmmateryal.eba.gov.tr/mebi-konu-pekistirme-indir?id=176198,,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ydt/ydt/ydt.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/3adim/ydt/ydt/files/mobile/1.jpg
