sinifId,sinifIsmi,dersId,dersNo,dersKodu,dersIsmi,uniteId,uniteNo,uniteIsmi,kazanimId,kazanimNo,kazanimKod,kazanimIsmi,pdfId,pdfBaslik,pdfLink
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,pg3sgsbwti4.pdf,TÜRK BİLİM İNSANININ YENİ UMUDU: AKSOLOTL,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/pg3sgsbwti4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,53ydlkrlfzm.pdf,DİŞİL ÜREME,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/53ydlkrlfzm.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,nxb34agsqey.pdf,EKMEKLERIN RENKLI DÜNYASI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/nxb34agsqey.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,sf1mprvv4zf.pdf,HIZLI ÜRETİM,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/sf1mprvv4zf.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,xdjmshilzm4.pdf,TOHUMSUZ BITKI ÜRETMEK MÜMKÜN MÜ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/xdjmshilzm4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3471,1,10.1.1.1.,10.1.1.1.- Canlılarda hücre bölünmesinin gerekliliğini açıklar.,oiqt35t51ss.pdf,MEYVE AĞAÇLARINDA AŞILAMA TEKNİĞİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/oiqt35t51ss.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,zyizsgmhfi1.pdf,ÇEKİRDEK BÖLÜNMESİ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/zyizsgmhfi1.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,iivdt25jmao.pdf,İŞİM BAŞIMDAN AŞKIN,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/iivdt25jmao.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,dmskonrjzf4.pdf,BÖLÜNMENİN EN NET SAFHASI METAFAZ,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/dmskonrjzf4.pdf
7,10. Sınıf,6,1,BIY,Biyoloji,27,1,Hücre Bölünmeleri,3472,2,10.1.1.2.,10.1.1.2.- Mitozu açıklar.,zaqd5ojuyih.pdf,MİTOZUN KRİTİK NOKTASI,https://ogmmateryal.eba.gov.tr/panel/upload/yardimci-kitap/zaqd5ojuyih.pdf
