baslik,pdfId,pdfLink,videoId,playlistId,time,videoLink
İngilizce,ywquyaukxiz.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ywquyaukxiz.pdf,xNihBDqKfJQ,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/xNihBDqKfJQ?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,1eg4nar3rt4.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/1eg4nar3rt4.pdf,R7K4Ou6VU1c,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,114,https://youtu.be/R7K4Ou6VU1c?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m&t=114
İngilizce,ayb1le0u24v.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ayb1le0u24v.pdf,ryHwcTcCbVY,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,113,https://youtu.be/ryHwcTcCbVY?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m&t=113
İngilizce,g5tncjvcmoe.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/g5tncjvcmoe.pdf,Aqo2P5xVp7s,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/Aqo2P5xVp7s?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,g3n15syccvs.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/g3n15syccvs.pdf,OLqw_hGraoo,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/OLqw_hGraoo?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,4gypnkpje3a.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/4gypnkpje3a.pdf,gYdsBFtFZSQ,,,https://youtu.be/gYdsBFtFZSQ
İngilizce,uhbeflk2hxw.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/uhbeflk2hxw.pdf,Fx7ad3xI1kQ,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/Fx7ad3xI1kQ?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,r24pvcfzoxf.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/r24pvcfzoxf.pdf,-sfvLK9S5i0,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/-sfvLK9S5i0?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,ftwalbhgq5z.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/ftwalbhgq5z.pdf,mfiHknVC8Ng,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/mfiHknVC8Ng?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
İngilizce,dxbptzzc3od.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/files/dxbptzzc3od.pdf,uwybYH_Og_U,PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m,,https://youtu.be/uwybYH_Og_U?list=PLUYa52_9xFS8NaMFChKgUUUCo9r9raX6m
