sinifPath,sinifIsmi,dersPath,dersIsmi,flipbookKitapLink,pdfIndirmeLink,zipIndirmeLink,kitapThumbnailLink
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit1/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit1/11.1.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit1/unit1.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit1/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit2/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit2/11.2.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit2/unit2.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit2/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit3/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit3/11.3.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit3/unit3.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit3/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit4/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit4/11.4.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit4/unit4.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit4/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit5/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit5/11.5.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit5/unit5.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit5/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit6/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit6/11.6.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit6/unit6.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit6/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit7/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit7/11.7.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit7/unit7.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit7/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit8/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit8/11.8.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit8/unit8.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit8/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit9/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit9/11.9.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit9/unit9.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit9/files/thumb/1.jpg
ingilizce,11. Sınıf,game-activities,İngilizce,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit10/index.html,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit10/11.10.pdf,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit10/unit10.zip,https://ogmmateryal.eba.gov.tr/panel/upload/etkilesimli/kitap/game_activity/11/unit10/files/thumb/1.jpg
