dersKodu,dersIsmi,sinavTipi,konu,pdfId,pdfLink,videoId,playlistId,time,videoLink
TAR,TARİH,TYT/AYT,I.TBMM DÖNEMİ,yrfbroddxus.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/yrfbroddxus.pdf,5x2Q5UgQhY0,,,https://www.youtube.com/embed/5x2Q5UgQhY0
TAR,TARİH,TYT/AYT,MİLLİ MÜCADELE,dwgb1f5u3g4.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/dwgb1f5u3g4.pdf,rFipbB8UixY,,,https://www.youtube.com/embed/rFipbB8UixY
TAR,TARİH,TYT/AYT,TÜRK İNKILABI,30zqtxzu2cs.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/30zqtxzu2cs.pdf,Wqms6trHaMo,,,https://www.youtube.com/embed/Wqms6trHaMo
TAR,TARİH,TYT/AYT,ATATÜRK İLKELERİ,y1xd3xrdimw.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/y1xd3xrdimw.pdf,r9YSvCvwgAM,,,https://www.youtube.com/embed/r9YSvCvwgAM
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,EKLER VE SÖZCÜĞÜN YAPISI,sr2wvi0dbjy.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/sr2wvi0dbjy.pdf,Ez-r48jdWKw,,,https://www.youtube.com/embed/Ez-r48jdWKw
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,YAZIM KURALLARI,jtcsf1jtdgt.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/jtcsf1jtdgt.pdf,cnZEWjASeQA,,,https://www.youtube.com/embed/cnZEWjASeQA
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,NOKTALAMA İŞARETLERİ,mculdxo1bts.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/mculdxo1bts.pdf,gBWMIpTJ-7o,,,https://www.youtube.com/embed/gBWMIpTJ-7o
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,İSİM SOYLU SÖZCÜKLER,jhha50lsh3r.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/jhha50lsh3r.pdf,fNYIxK7vo_0,,,https://www.youtube.com/embed/fNYIxK7vo_0
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,FİİLLER,hk0k3tz0ehw.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/hk0k3tz0ehw.pdf,Uxz8SlMm84Q,,,https://www.youtube.com/embed/Uxz8SlMm84Q
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,CÜMLENİN ÖGELERİ,5hgz20hvpse.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/5hgz20hvpse.pdf,b9Ghxst-NOc,,,https://www.youtube.com/embed/b9Ghxst-NOc
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,CÜMLE TÜRLERİ,p4c0j01tld5.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/p4c0j01tld5.pdf,fiuyH9KEP-0,,,https://www.youtube.com/embed/fiuyH9KEP-0
TDE,TÜRK DİLİ VE EDEBİYATI,TYT,ANLATIM BOZUKLUKLARI,1pww1q03g5z.pdf,http://ogmmateryal.eba.gov.tr/panel/upload/kitap/1pww1q03g5z.pdf,dxIalcVRubE,,,https://www.youtube.com/embed/dxIalcVRubE
